name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,sample_index,predicted_class,confidence,entropy,variation_ratio,mean_prob,std_prob,mean_probs,std_probs
9,7.18,0.15,109.0,0.91,2,1992-2022,M-v,3El,(15760),Albion,1992 QB1,2460800.5,34.16135,7.09237,359.43901,2.18575,0.0737229,0.00334815,44.2519752,MPO727685,17,MPCLINUX,000A,2022-12-26,2450597.2952,294.3736891,40.9895913,47.5143591,22.0057314,1.0034086,Distant Object,,,,,,,0,1,0.9977982,0.015670191,0.0,0.4999999,0.0010745495,"[0.002201634459197521, 0.9977982044219971]","[0.0010745520703494549, 0.0010745468316599727]"
10,7.96,0.15,138.0,0.86,2,1993-2022,M-v,3El,(15788),,1993 SB,2460800.5,3.42996,79.21733,354.86459,1.93673,0.32697,0.00393309,39.7478307,MPO727685,21,MPCLINUX,000A,2022-12-01,2459928.40236,250.5936991,26.7514825,52.7441789,17.7492074,1.0040065,Distant Object,,,,,,,1,1,0.9990912,0.0072723962,0.0,0.49999994,0.0003184969,"[0.0009086901554837823, 0.9990912079811096]","[0.0003184999222867191, 0.0003184938686899841]"
11,7.09,0.15,159.0,0.96,2,1993-2020,M-v,3Ek,(15789),,1993 SC,2460800.5,76.94852,318.98558,354.65459,5.15581,0.1844019,0.00392784,39.7832705,MPO691787,17,Pan,000A,2020-01-19,2441209.75709,250.9289238,32.4471598,47.1193812,19.2152389,1.0040011,Distant Object,,,,,,,2,1,0.9988302,0.009066936,0.0,0.50000006,0.0005442933,"[0.0011699027381837368, 0.9988301992416382]","[0.0005442954134196043, 0.0005442911642603576]"
12,7.32,0.15,69.0,0.58,4,1994-2020,M-v,3Ek,(15807),,1994 GV9,2460800.5,87.86118,301.68007,177.00306,0.56611,0.063086,0.00342255,43.6083223,MPO691788,14,Pan,000A,2020-06-17,2435128.86231,287.9745234,40.8572477,46.3593969,21.717384,1.0034846,Distant Object,,,,,,,3,1,0.9979932,0.01447055,0.0,0.50000006,0.001025134,"[0.002007005736231804, 0.9979931712150574]","[0.0010251343483105302, 0.0010251336498185992]"
13,7.64,0.15,52.0,0.65,5,1994-2001,M-v,3Ek,(15809),,1994 JS,2460800.5,2.17428,237.78075,56.42981,14.05879,0.2143917,0.00361216,42.0686346,MPO691788,7,Pan,000A,2001-06-12,2460198.55653,272.8585864,33.0494685,51.0878007,20.0675001,1.0036784,Distant Object,,,,,,,4,1,0.9985141,0.011160487,0.0,0.5,0.0007604588,"[0.0014858858194202185, 0.9985141158103943]","[0.0007604607380926609, 0.0007604568963870406]"
14,7.68,0.15,107.0,0.75,1,1994-2023,M-v,3Ek,(15810),Arawn,1994 JR1,2460800.5,43.2303,101.69146,144.75443,3.80395,0.1140708,0.0040104,39.2353696,MPO914321,16,MPCLINUX,000A,2023-10-07,2450020.95183,245.7630692,34.7597596,43.7109796,19.3624166,1.0040856,Distant Object,,,,,,,5,1,0.9988287,0.009075231,0.0,0.4999999,0.000576915,"[0.0011710863327607512, 0.9988287091255188]","[0.000576915277633816, 0.000576914637349546]"
15,7.6,0.15,190.0,0.84,1,1994-2024,M-v,3Ek,(15820),,1994 TB,2460800.5,8.80326,99.29089,317.43303,12.12861,0.323523,0.00391282,39.8849903,E2024-T35,20,MPCLINUX,000A,2024-10-01,2458550.63801,251.8919197,26.9812786,52.788702,17.8551714,1.0039858,Distant Object,,,,,,,6,1,0.9989594,0.008185932,0.0,0.49999994,0.0004605897,"[0.001040446455590427, 0.9989594221115112]","[0.00046059032320044935, 0.0004605890717357397]"
16,8.06,0.15,82.0,0.3,3,1995-2020,M-v,3Ek,(15836),,1995 DA2,2460800.5,72.77667,333.38492,127.42709,6.55157,0.0763402,0.00449449,36.3649244,MPO691788,17,Pan,000A,2020-01-25,2444607.7557,219.2926287,33.5888188,39.14103,18.076498,1.004581,Distant Object,,,,,,,7,1,0.9991649,0.0067545353,0.0,0.50000006,0.00029442162,"[0.0008352000149898231, 0.999164879322052]","[0.000294421159196645, 0.0002944221196230501]"
17,5.41,0.15,514.0,0.75,1,1996-2025,M-v,3Ek,(15874),,1996 TL66,2460800.5,10.88136,185.09668,217.67996,23.94958,0.5871626,0.00125835,84.9704639,MPO901360,26,MPCLINUX,000A,2025-02-20,2452152.83251,783.2528503,35.0789854,134.8619424,27.8380268,1.0012784,Distant Object,,,,,,,8,1,0.82283294,0.46707055,0.030000000000000027,0.50000006,0.11859025,"[0.177167147397995, 0.8228329420089722]","[0.11859025061130524, 0.11859025806188583]"
18,7.36,0.15,153.0,0.85,2,1996-2021,M-v,3Ek,(15875),,1996 TP66,2460800.5,35.49413,76.10184,316.80747,5.68386,0.3349952,0.00393382,39.7429217,MPO691789,17,Pan,000A,2021-01-11,2451777.63915,250.5472767,26.4292337,53.0566097,17.6414501,1.0040073,Distant Object,,,,,,,9,1,0.9991155,0.0071022976,0.0,0.5,0.00035809234,"[0.0008844583644531667, 0.999115526676178]","[0.00035809524706564844, 0.0003580894262995571]"
