Name,a,e,i,predicted_class,mean_prob,std_prob,entropy
Mani,41.621024,0.1487031,17.70733,1,0.5000001,0.00080771965,0.012487449
Pluto,39.3621667,0.2467311,17.17189,1,0.5000001,0.00044573576,0.008882106
|=Kagara,43.9826068,0.0887582,2.86555,1,0.5000001,0.0009292254,0.01423678
Altjira,44.5531766,0.057282,5.198,1,0.50000006,0.0010445009,0.015333503
Arrokoth,44.0942738,0.0373693,2.4483,1,0.50000006,0.00091808767,0.014657483
Clete,30.3387603,0.0567622,5.24917,1,0.50000006,0.00016943028,0.004595204
Eris,68.05163,0.4356756,43.82172,1,0.50000006,0.022170149,0.10702908
Haumea,42.9611235,0.19703,28.20836,1,0.50000006,0.0016543819,0.019120552
Makemake,45.449682,0.1619387,29.03386,1,0.50000006,0.0019715757,0.022050869
Mbabamwanawaresa,44.9145472,0.1356117,5.77207,1,0.50000006,0.001147592,0.015818868
Quaoar,43.1628743,0.0366422,7.99125,1,0.50000006,0.0009847626,0.015411725
Sila-Nunam,43.9749949,0.0126922,2.23944,1,0.50000006,0.0012612347,0.0164371
Varda,45.5486509,0.1437227,21.51555,1,0.50000006,0.0017703831,0.019801026
Varuna,43.1372631,0.0535638,17.13953,1,0.50000006,0.0011990834,0.016593695
Achlys,39.5852395,0.1750926,13.54374,1,0.5,0.0004606542,0.00891662
Aya,47.2195337,0.1268259,24.34845,1,0.5,0.0024496745,0.027120117
Ceto,100.080313,0.8231395,22.30268,1,0.5,0.20798771,0.68415606
G!kun||'homdima,74.5827723,0.495865,23.33891,1,0.5,0.045816652,0.24197556
Orcus,39.2892348,0.2231412,20.55554,1,0.5,0.00072077895,0.011084303
Rhadamanthus,38.8630381,0.1571743,12.76528,1,0.5,0.0005049883,0.008903701
Taowu,35.6817212,0.3326178,110.30416,1,0.5,1.2672266e-11,2.1441685e-10
Zhulong,55.0617243,0.4054934,0.80684,1,0.5,0.0034338948,0.03153888
Borasisi,43.8649234,0.0853296,0.56372,1,0.49999997,0.0009393225,0.01428214
Deucalion,43.8541199,0.0589449,0.36663,1,0.49999997,0.0008322159,0.0144823035
Dziewanna,68.7054572,0.5271004,29.46575,1,0.49999997,0.023561563,0.14137591
Gonggong,66.9464643,0.5019951,30.82492,1,0.49999997,0.026659984,0.12392105
Ixion,39.3749838,0.2449509,19.67473,1,0.49999997,0.00078117545,0.011221432
Manwe,43.9032805,0.1165735,2.66468,1,0.49999997,0.00079895335,0.013058556
Otrera,30.3410841,0.0327098,1.43134,1,0.49999997,0.00019113332,0.0050390083
Salacia,42.175602,0.1023366,23.92716,1,0.49999997,0.0012694751,0.017982434
Albion,44.2519752,0.0737229,2.18575,1,0.4999999,0.0010745495,0.015670191
Arawn,39.2353696,0.1140708,3.80395,1,0.4999999,0.000576915,0.009075231
Lempo,39.7648056,0.2308144,8.40351,1,0.4999999,0.00035067688,0.0080467835
Mors-Somnus,39.6002692,0.2710665,11.27052,1,0.4999999,0.00036049966,0.008038235
Teharonhiawako,44.1163078,0.0250624,2.5831,1,0.4999999,0.0010231069,0.015623782
Logos,45.1609121,0.1223477,2.89738,1,0.49999988,0.000940981,0.016285762
Typhon,37.6440447,0.5359908,2.42878,1,0.49999988,0.00021294261,0.0048868908
Huya,39.2003478,0.2724599,15.47616,1,0.49999985,0.00046566798,0.008047741
Praamzius,42.8333138,0.0056786,1.08883,1,0.49999985,0.00083404884,0.013079203
Chaos,46.098707,0.110179,12.01563,1,0.49999982,0.0016451636,0.0200609
