Name,a,e,i,predicted_class,mean_prob,std_prob,entropy
,54.802222,0.3335876,17.71638,1,0.50000024,0.005241868,0.04398471
,44.4733652,0.0383869,1.01061,1,0.50000024,0.0011542736,0.016505381
,45.353981,0.1435027,2.27314,1,0.50000024,0.00091929844,0.0146578755
,50.7677292,0.3199643,30.77069,1,0.50000024,0.0035002038,0.032462455
,37.5216191,0.137359,3.63282,1,0.50000024,0.00028160308,0.006884427
,44.625094,0.0754661,1.97042,1,0.50000024,0.0009306526,0.014888909
,47.310278,0.2214243,28.8826,1,0.50000024,0.00241426,0.02500503
,44.4817869,0.1074853,1.68115,1,0.50000024,0.0010722107,0.015352117
,60.1244949,0.3542051,22.45811,1,0.50000024,0.008003442,0.066517755
,43.8612988,0.0358227,2.08705,1,0.50000024,0.00080432266,0.014831875
,44.7246775,0.0394866,3.26095,1,0.50000024,0.0010713617,0.016183631
,48.9304114,0.5394715,5.95838,1,0.5000002,0.0009921733,0.014603207
,43.3714373,0.1888902,7.21606,1,0.5000002,0.0007298519,0.011779726
,38.9829557,0.2389953,2.36255,1,0.5000002,0.00040404534,0.0074913446
,47.7051004,0.1549803,12.09006,1,0.5000002,0.0019933884,0.021912139
,38.8569252,0.0500946,39.77541,1,0.5000002,0.0021565806,0.019165518
,41.2829727,0.1351915,27.80435,1,0.5000002,0.0014547599,0.017757984
,47.7276514,0.0686382,24.72934,1,0.5000002,0.0031222685,0.031621367
,42.6585051,0.1710167,12.35908,1,0.5000002,0.0007297059,0.012241204
,30.22371,0.0240574,22.29246,1,0.5000002,0.0004196585,0.009319752
,47.5863315,0.1386302,8.39537,1,0.5000002,0.0017586276,0.0222912
,39.1855878,0.3248862,24.02687,1,0.5000002,0.00064623205,0.010856458
,41.8565913,0.137146,22.22609,1,0.5000002,0.0011863306,0.015732978
,43.4360202,0.0557641,3.06259,1,0.5000002,0.0010399611,0.014539312
,39.4232799,0.2235806,5.27551,1,0.5000002,0.00038950873,0.007390344
,43.0383729,0.121746,25.62318,1,0.5000002,0.0018046683,0.0200174
,61.5182826,0.3335909,28.90811,1,0.5000002,0.016461361,0.09501184
,39.1931938,0.2600337,14.09459,1,0.5000002,0.0005038298,0.008305026
,80.6733107,0.7675042,8.97388,1,0.5000002,0.072735,0.25975114
,43.5993885,0.0356763,0.92167,1,0.5000002,0.00080853933,0.014250332
,42.2498936,0.0,1.72668,1,0.5000002,0.0007675822,0.01327912
,43.1555933,0.0282255,1.36228,1,0.5000002,0.00092177134,0.015083343
,41.2054594,0.0,28.97548,1,0.5000002,0.001365506,0.01996657
,44.9168413,0.1030037,1.51504,1,0.5000002,0.001049503,0.015903125
,39.7005717,0.1910989,2.8031,1,0.5000002,0.00042307828,0.007947709
,36.5074167,0.0,1.53233,1,0.5000002,0.00032781772,0.007828825
,39.5100318,0.2828477,23.75671,1,0.5000002,0.0008321476,0.013000653
,43.7937672,0.0610909,3.34949,1,0.5000002,0.001052154,0.015657105
,44.3385438,0.1738929,28.773,1,0.5000002,0.0022025066,0.019771807
,45.7782668,0.0,1.12897,1,0.5000002,0.0015247555,0.02024269
,123.0867759,0.5495074,175.91692,1,0.5000002,0.002590817,0.0051929434
,43.2113269,0.1094118,13.00619,1,0.5000002,0.0010235044,0.014211612
,44.0599137,0.2710173,0.98584,1,0.5000002,0.00064070144,0.010763595
,39.1758071,0.2149914,18.77741,1,0.5000002,0.0006131554,0.009844421
,44.4394482,0.090837,4.14937,1,0.5000002,0.0009650735,0.0147911
,43.4120345,0.1426842,3.2268,1,0.5000002,0.00077205914,0.012475304
,38.2682656,0.1240748,30.16751,1,0.5000002,0.001161708,0.015734872
,44.0053328,0.2685214,18.82396,1,0.5000002,0.0008150652,0.012914174
,39.7654324,0.2633258,4.30716,1,0.5000002,0.0003479203,0.007218682
,44.2160372,0.1709528,4.52494,1,0.5000002,0.0008129684,0.012362871
,46.6474611,0.1546537,2.94648,1,0.5000002,0.0011803752,0.016889326
,36.7295303,0.1392407,6.80757,1,0.5000002,0.00031462818,0.0066951136
,39.8204097,0.2147525,20.96724,1,0.5000002,0.00075432035,0.011243824
,44.0177368,0.0413347,1.53816,1,0.5000002,0.0009190348,0.013493994
,61.3410329,0.9546553,97.15137,1,0.5000002,5.7878356e-06,3.358561e-05
,39.323717,0.1453126,10.22515,1,0.5000002,0.0004404857,0.008975911
,30.0403281,0.121313,6.67149,1,0.5000002,0.00013791354,0.004144437
,43.0904913,0.0698934,9.71708,1,0.5000002,0.0013413115,0.0159616
,43.5088022,0.135563,20.27927,1,0.5000002,0.0011603552,0.0153902825
,44.4284563,0.0581962,0.23168,1,0.5000002,0.00088901265,0.014613677
,48.0049451,0.2247292,8.17611,1,0.5000002,0.0011404676,0.017567558
,48.1222913,0.2710349,13.42052,1,0.5000002,0.0017999785,0.021923428
,46.5034452,0.1210407,9.32999,1,0.5000002,0.0013076128,0.018445097
,39.2637689,0.2187567,7.2823,1,0.5000002,0.0004044107,0.008110915
,45.8314142,0.1466184,6.45402,1,0.5000002,0.0012124497,0.016483456
,43.9361035,0.1950076,10.58279,1,0.5000002,0.00089619844,0.013406936
,41.9078524,0.0436488,11.82773,1,0.5000002,0.00083130033,0.012946659
,46.2159536,0.1695047,8.61747,1,0.5000002,0.0008993621,0.015631737
,39.2644493,0.1376933,13.59615,1,0.5000002,0.00061854674,0.009978211
,59.4039783,0.8656379,17.72388,1,0.5000002,0.004736281,0.035931483
,45.4072638,0.2359722,18.5911,1,0.5000002,0.0010082773,0.016735768
,48.7544485,0.0990468,8.21151,1,0.5000002,0.0020828247,0.024316764
,47.4590697,0.2551996,1.71983,1,0.5000002,0.001064559,0.015212038
,39.03702,0.2711948,10.22474,1,0.5000002,0.0003628445,0.0073501645
,39.0670203,0.1809357,6.32334,1,0.5000002,0.00041985247,0.007958055
,43.1671406,0.0337212,1.32845,1,0.5000002,0.00085297547,0.014049371
,44.7576256,0.0479646,3.8331,1,0.5000002,0.0011521047,0.016693687
,43.7753276,0.0785503,3.13149,1,0.5000002,0.00090264145,0.014370109
,46.6299926,0.1648829,7.57098,1,0.5000002,0.0012834319,0.018283173
,43.1202858,0.0690088,8.77555,1,0.5000002,0.00090922404,0.013081838
,48.1316996,0.5264283,25.45421,1,0.5000002,0.0017597959,0.018615862
,54.3379264,0.9564801,91.25225,1,0.5000002,1.4199614e-06,1.4198793e-05
,39.6800568,0.1599888,20.67756,1,0.5000002,0.0008318168,0.012679213
