name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy,variation_ratio,prob_mean_c0,prob_std_c0,prob_mean_c1,prob_std_c1
9,7.18,0.15,109.0,0.91,2,1992-2022,M-v,3El,(15760),Albion,1992 QB1,2460800.5,34.16135,7.09237,359.43901,2.18575,0.0737229,0.00334815,44.2519752,MPO727685,17,MPCLINUX,000A,2022-12-26,2450597.2952,294.3736891,40.9895913,47.5143591,22.0057314,1.0034086,Distant Object,,,,,,,1,0.9877821,0.010296073,0.065960996,0.0,0.012217901,0.010296063,0.9877821,0.010296073
10,7.96,0.15,138.0,0.86,2,1993-2022,M-v,3El,(15788),,1993 SB,2460800.5,3.42996,79.21733,354.86459,1.93673,0.32697,0.00393309,39.7478307,MPO727685,21,MPCLINUX,000A,2022-12-01,2459928.40236,250.5936991,26.7514825,52.7441789,17.7492074,1.0040065,Distant Object,,,,,,,1,0.99044496,0.0075984057,0.053946868,0.0,0.009555074,0.0075984066,0.99044496,0.0075984057
11,7.09,0.15,159.0,0.96,2,1993-2020,M-v,3Ek,(15789),,1993 SC,2460800.5,76.94852,318.98558,354.65459,5.15581,0.1844019,0.00392784,39.7832705,MPO691787,17,Pan,000A,2020-01-19,2441209.75709,250.9289238,32.4471598,47.1193812,19.2152389,1.0040011,Distant Object,,,,,,,1,0.9895942,0.008496707,0.057858307,0.0,0.010405884,0.008496703,0.9895942,0.008496707
12,7.32,0.15,69.0,0.58,4,1994-2020,M-v,3Ek,(15807),,1994 GV9,2460800.5,87.86118,301.68007,177.00306,0.56611,0.063086,0.00342255,43.6083223,MPO691788,14,Pan,000A,2020-06-17,2435128.86231,287.9745234,40.8572477,46.3593969,21.717384,1.0034846,Distant Object,,,,,,,1,0.9877851,0.016074196,0.06594779,0.0,0.012214888,0.016074201,0.9877851,0.016074196
13,7.64,0.15,52.0,0.65,5,1994-2001,M-v,3Ek,(15809),,1994 JS,2460800.5,2.17428,237.78075,56.42981,14.05879,0.2143917,0.00361216,42.0686346,MPO691788,7,Pan,000A,2001-06-12,2460198.55653,272.8585864,33.0494685,51.0878007,20.0675001,1.0036784,Distant Object,,,,,,,1,0.9895706,0.007494268,0.0579651,0.0,0.010429294,0.007494272,0.9895706,0.007494268
14,7.68,0.15,107.0,0.75,1,1994-2023,M-v,3Ek,(15810),Arawn,1994 JR1,2460800.5,43.2303,101.69146,144.75443,3.80395,0.1140708,0.0040104,39.2353696,MPO914321,16,MPCLINUX,000A,2023-10-07,2450020.95183,245.7630692,34.7597596,43.7109796,19.3624166,1.0040856,Distant Object,,,,,,,1,0.9897685,0.008255524,0.05706252,0.0,0.010231474,0.008255527,0.9897685,0.008255524
15,7.6,0.15,190.0,0.84,1,1994-2024,M-v,3Ek,(15820),,1994 TB,2460800.5,8.80326,99.29089,317.43303,12.12861,0.323523,0.00391282,39.8849903,E2024-T35,20,MPCLINUX,000A,2024-10-01,2458550.63801,251.8919197,26.9812786,52.788702,17.8551714,1.0039858,Distant Object,,,,,,,1,0.9898772,0.006546135,0.05656482,0.0,0.010122741,0.0065461267,0.9898772,0.006546135
16,8.06,0.15,82.0,0.3,3,1995-2020,M-v,3Ek,(15836),,1995 DA2,2460800.5,72.77667,333.38492,127.42709,6.55157,0.0763402,0.00449449,36.3649244,MPO691788,17,Pan,000A,2020-01-25,2444607.7557,219.2926287,33.5888188,39.14103,18.076498,1.004581,Distant Object,,,,,,,1,0.9905722,0.00679768,0.053355165,0.0,0.009427752,0.006797673,0.9905722,0.00679768
17,5.41,0.15,514.0,0.75,1,1996-2025,M-v,3Ek,(15874),,1996 TL66,2460800.5,10.88136,185.09668,217.67996,23.94958,0.5871626,0.00125835,84.9704639,MPO901360,26,MPCLINUX,000A,2025-02-20,2452152.83251,783.2528503,35.0789854,134.8619424,27.8380268,1.0012784,Distant Object,,,,,,,1,0.7652826,0.17950289,0.54491395,0.0,0.23471741,0.17950289,0.7652826,0.17950289
18,7.36,0.15,153.0,0.85,2,1996-2021,M-v,3Ek,(15875),,1996 TP66,2460800.5,35.49413,76.10184,316.80747,5.68386,0.3349952,0.00393382,39.7429217,MPO691789,17,Pan,000A,2021-01-11,2451777.63915,250.5472767,26.4292337,53.0566097,17.6414501,1.0040073,Distant Object,,,,,,,1,0.990084,0.008826781,0.055615112,0.0,0.009915978,0.00882678,0.990084,0.008826781
19,7.07,0.15,37.0,0.32,4,1997-2024,M-v,3Ek,(15883),,1997 CR29,2460800.5,77.38786,301.13665,127.11356,19.13018,0.2157726,0.00304769,47.1145942,E2024-H69,7,MPCLINUX,000A,2024-04-14,2435407.44973,323.3949116,36.9485557,57.2806327,22.4605208,1.0031018,Distant Object,,,,,,,1,0.987236,0.010655351,0.06834747,0.0,0.012763965,0.010655347,0.987236,0.010655351
20,6.71,0.15,95.0,0.36,4,1994-2020,M-v,3Ek,(16684),,1994 JQ1,2460800.5,332.91845,254.12597,25.68694,3.74815,0.0455939,0.00339438,43.8492734,MPO691804,15,Pan,000A,2020-07-09,2468779.03755,290.3645559,41.850014,45.8485328,21.8790597,1.0034558,Distant Object,,,,,,,1,0.9868086,0.012491655,0.07019876,0.0,0.013191358,0.0124916565,0.9868086,0.012491655
21,6.94,0.15,75.0,0.44,4,1994-2016,M-v,3Ek,(19255),,1994 VK8,2460800.5,287.1886,104.41558,72.35857,1.48581,0.0332433,0.00348716,43.0680265,MPO691853,7,Pan,000A,2016-02-04,2481680.71565,282.6392405,41.6363032,44.4997498,21.5102156,1.0035506,Distant Object,,,,,,,1,0.9900944,0.009313145,0.055567145,0.0,0.009905563,0.009313143,0.9900944,0.009313145
22,8.47,0.15,74.0,0.33,3,1996-2020,M-v,3Ek,(19299),,1996 SZ4,2460800.5,19.76298,30.93811,15.9272,4.73484,0.264203,0.00390229,39.9566783,MPO691854,14,Pan,000A,2020-01-30,2455735.92617,252.5713384,29.400004,50.5133526,18.5837866,1.003975,Distant Object,,,,,,,1,0.98987174,0.008604859,0.05658995,0.0,0.010128225,0.00860486,0.98987174,0.008604859
23,4.81,0.15,293.0,0.98,2,1983-2024,M-v,3Ek,(19308),,1996 TO66,2460800.5,147.28864,240.90107,355.20738,27.40994,0.1132789,0.00343411,43.5104455,MPO887554,23,MPCLINUX,000A,2024-11-28,2417910.4735,287.00555,38.5816301,48.4392609,21.4760574,1.0034964,Distant Object,,,,,,,1,0.98962975,0.008441323,0.057696093,0.0,0.010370264,0.008441329,0.98962975,0.008441323
24,4.63,0.15,164.0,0.66,1,1991-2023,M-v,3Ek,(19521),Chaos,1998 WH24,2460800.5,350.0632,56.22722,49.89077,12.01563,0.110179,0.00314899,46.098707,MPO914366,22,MPCLINUX,000A,2023-09-28,2463956.14165,312.9919129,41.0195976,51.1778164,22.7695479,1.0032052,Distant Object,,,,,,,1,0.9879778,0.009972218,0.065099694,0.0,0.012022173,0.009972217,0.9879778,0.009972218
25,3.79,0.15,849.0,0.65,1,1954-2025,M-v,3Ek,(20000),Varuna,2000 WR106,2460800.5,114.90463,272.57494,97.2134,17.13953,0.0535638,0.00347877,43.1372631,MPO901406,30,MPCLINUX,000A,2025-03-06,2427769.58903,283.321075,40.8266674,45.4478588,21.5067494,1.0035421,Distant Object,,,,,,,1,0.98963743,0.0073353476,0.057660732,0.0,0.010362489,0.0073353513,0.98963743,0.0073353476
