Name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy
Taowu,35.6817212,0.3326178,110.30416,1,0.99760133,0.008158253,0.01686659
Otrera,30.3410841,0.0327098,1.43134,1,0.99342054,0.0052256486,0.039611723
Clete,30.3387603,0.0567622,5.24917,1,0.9931101,0.005345397,0.041162025
Rhadamanthus,38.8630381,0.1571743,12.76528,1,0.99196017,0.0068416498,0.04678658
Typhon,37.6440447,0.5359908,2.42878,1,0.9916205,0.00713823,0.04841475
Lempo,39.7648056,0.2308144,8.40351,1,0.9915993,0.007702937,0.048515648
Orcus,39.2892348,0.2231412,20.55554,1,0.9915697,0.006292922,0.04865708
Ixion,39.3749838,0.2449509,19.67473,1,0.99151057,0.006461785,0.04893884
Huya,39.2003478,0.2724599,15.47616,1,0.9914853,0.0073595345,0.049059175
Pluto,39.3621667,0.2467311,17.17189,1,0.99114907,0.0072799716,0.050651938
Mors-Somnus,39.6002692,0.2710665,11.27052,1,0.99062693,0.0065172464,0.05310059
Achlys,39.5852395,0.1750926,13.54374,1,0.9905992,0.007033929,0.053229637
Arawn,39.2353696,0.1140708,3.80395,1,0.9897685,0.008255524,0.05706252
Varuna,43.1372631,0.0535638,17.13953,1,0.98963743,0.0073353476,0.057660732
Manwe,43.9032805,0.1165735,2.66468,1,0.9895572,0.011306326,0.05802681
Praamzius,42.8333138,0.0056786,1.08883,1,0.9894426,0.012614888,0.058547646
Mani,41.621024,0.1487031,17.70733,1,0.98908824,0.007694065,0.060150534
Makemake,45.449682,0.1619387,29.03386,1,0.9886854,0.00936971,0.061958216
Mbabamwanawaresa,44.9145472,0.1356117,5.77207,1,0.98848915,0.011693723,0.06283376
Haumea,42.9611235,0.19703,28.20836,1,0.98839647,0.009315098,0.06324665
Borasisi,43.8649234,0.0853296,0.56372,1,0.9883846,0.01455796,0.063298754
Quaoar,43.1628743,0.0366422,7.99125,1,0.98821557,0.009517481,0.06404921
Varda,45.5486509,0.1437227,21.51555,1,0.98802376,0.009856333,0.06489696
Chaos,46.098707,0.110179,12.01563,1,0.9879778,0.009972218,0.065099694
Salacia,42.175602,0.1023366,23.92716,1,0.98792213,0.009018204,0.06534493
Albion,44.2519752,0.0737229,2.18575,1,0.9877821,0.010296073,0.065960996
|=Kagara,43.9826068,0.0887582,2.86555,1,0.9874925,0.013598765,0.06722951
Sila-Nunam,43.9749949,0.0126922,2.23944,1,0.9863771,0.011915533,0.07205372
Aya,47.2195337,0.1268259,24.34845,1,0.9861676,0.009794181,0.07294913
Logos,45.1609121,0.1223477,2.89738,1,0.9861071,0.012501684,0.07320726
Teharonhiawako,44.1163078,0.0250624,2.5831,1,0.9860047,0.016486675,0.07364342
Arrokoth,44.0942738,0.0373693,2.4483,1,0.98582214,0.013261171,0.074419014
Altjira,44.5531766,0.057282,5.198,1,0.98579764,0.012072867,0.07452289
Deucalion,43.8541199,0.0589449,0.36663,1,0.9853799,0.012827774,0.07628794
Zhulong,55.0617243,0.4054934,0.80684,1,0.969652,0.045654543,0.13594949
Gonggong,66.9464643,0.5019951,30.82492,1,0.9566805,0.041955724,0.17835417
Dziewanna,68.7054572,0.5271004,29.46575,1,0.9439014,0.057261877,0.2160947
Eris,68.05163,0.4356756,43.82172,1,0.94095063,0.061081115,0.22434385
G!kun||'homdima,74.5827723,0.495865,23.33891,1,0.90347517,0.090238184,0.31737953
