Name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy
Leleakuhonua,1482.891634,0.9563363,11.67677,0,1.0,0.0,3.086641e-28
Sedna,551.9180231,0.861824,11.92676,0,1.0,0.0,8.4366575e-10
,636.8525121,0.967264,20.05795,0,1.0,5.9305872e-08,1.2077294e-07
,881.1288726,0.972497,19.44647,0,1.0,0.0,1.3052954e-11
,576.3681383,0.9382255,18.56932,0,1.0,1.1861174e-08,3.602423e-08
,925.8550909,0.9843313,78.01298,0,1.0,0.0,5.861199e-16
,1255.873676,0.9932958,98.56092,0,1.0,0.0,5.6342610000000005e-31
,502.0988064,0.9082523,12.39083,0,1.0,4.2700228e-07,7.4415976e-07
,928.3763121,0.9955405,112.70883,0,1.0,0.0,9.33968e-22
,538.9655287,0.956351,32.10285,0,1.0,0.0,1.259502e-09
,848.0805821,0.9410872,4.21994,0,1.0,0.0,5.100657e-14
,2258.183681,0.9840733,20.62487,0,1.0,0.0,-0.0
,664.7906765,0.9896476,12.41149,0,1.0,0.0,1.42083e-09
,2699.020123,0.9922755,15.55961,0,1.0,0.0,-0.0
,4154.378024,0.9942937,15.80348,0,1.0,0.0,-0.0
,499.7094677,0.9290217,1.92977,0,1.0,0.0,1.1434932e-11
,623.7021087,0.9350856,14.01409,0,1.0,0.0,1.3869698e-10
,460.5139806,0.9010632,12.1254,0,1.0,0.0,6.83392e-09
,562.2109926,0.9722174,45.30716,0,1.0,0.0,1.523438e-09
,1467.773602,0.9969797,55.85741,0,1.0,0.0,1.2890754e-23
,871.0094638,0.9480482,16.21145,0,1.0,0.0,1.702502e-13
,1103.179864,0.9573576,18.16567,0,1.0,0.0,5.2572597e-23
,422.3818193,0.952314,5.92624,0,1.0,3.0215264e-07,6.691519e-07
,735.5639496,0.9244159,73.50408,0,1.0,0.0,3.0869502e-15
,388.6184406,0.9728266,9.23862,0,1.0,1.9579377e-07,6.4633275e-07
,811.3060406,0.9450503,15.40748,0,1.0,0.0,3.3113068e-10
,1012.322216,0.9450176,7.64824,0,1.0,0.0,1.62152e-17
,379.4740717,0.9709039,67.93798,0,0.99999994,3.008116e-07,9.590907e-07
,460.6850105,0.967108,147.34483,0,0.99999994,5.930575e-07,1.0829428e-06
,707.3490953,0.9961956,58.11483,0,0.9999998,1.494508e-06,2.5458262e-06
,446.3082936,0.9862395,143.89804,0,0.9999998,2.0170958e-06,3.5157427e-06
,505.1807427,0.9729506,104.75709,0,0.9999998,1.6965035e-06,2.9679356e-06
,429.8306087,0.9616544,169.2613,0,0.9999997,2.5361269e-06,5.5390565e-06
,414.1267199,0.9936477,76.87702,0,0.9999995,3.8693747e-06,6.4895253e-06
,406.2800248,0.98061,16.54021,0,0.99999946,4.04252e-06,8.406724e-06
