H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag
10.55,0.15,1971.0,0.72,0,1920-2024,M-v,3Ek,(944),Hidalgo,A920 UB,2460800.5,171.00031,56.56738,21.38991,42.54803,0.6622544,0.07189173,5.7281812,MPO887301,31,MPCLINUX,0000,2024-05-12,2458421.91791,13.7096107,1.934668,9.5216944,1.6079552,1.0786806,MBA,,,,,,
5.55,0.15,5012.0,0.64,0,1895-2025,M-v,3Ek,(2060),Chiron,1977 UB,2460800.5,208.91578,339.24661,209.30145,6.92226,0.3782232,0.01943898,13.6989432,E2025-NA3,57,MPCLINUX,000A,2025-07-14,2468572.7618,50.7026429,8.5176851,18.8802013,5.8696356,1.0201197,Distant Object,,,,,,
7.07,0.15,376.0,0.7,1,1977-2018,M-v,3Ek,(5145),Pholus,1992 AD,2460800.5,132.42767,354.68583,119.29957,24.7463,0.5745414,0.01079134,20.2808353,MPO691591,28,Pan,000A,2018-04-19,2448528.79316,91.3332175,8.6286558,31.9330148,6.7930879,1.0110701,Distant Object,,,,,,
13.23,0.15,49.0,0.51,4,1991-1992,M-v,3Ek,(5335),Damocles,1991 DA,2460800.5,304.74456,191.09256,314.19068,61.86392,0.8665044,0.02409821,11.870787,MPO691594,2,Pan,0005,1992-08-22,2463093.4281,40.8996196,1.5846978,22.1568762,1.4789227,1.0250629,Object with perihelion distance < 1.665 AU,,,,,,
9.57,0.15,112.0,0.7,2,1993-2009,M-v,3Ek,(7066),Nessus,1993 HA2,2460800.5,98.84008,170.41685,31.32352,15.63486,0.5170081,0.00811028,24.5345964,E2024-E02,10,MPCLINUX,000A,2009-09-28,2448613.36775,121.5257688,11.8500113,37.2191815,8.9882816,1.008297,Distant Object,,,,,,
9.21,0.15,487.0,0.66,0,1995-2018,M-v,3Ek,(8405),Asbolus,1995 GO,2460800.5,106.9557,290.66492,5.96837,17.61667,0.617528,0.01283255,18.0687205,E2024-C06,21,MPCLINUX,000A,2018-09-14,2452465.74839,76.8052841,6.9107797,29.2266613,5.5891898,1.0131917,Distant Object,,,,,,
6.54,0.15,1632.0,0.74,0,1988-2025,M-v,3Ek,(10199),Chariklo,1997 CU26,2460800.5,123.74418,241.32296,300.4701,23.42488,0.1696137,0.01577058,15.7484398,E2025-N90,30,MPCLINUX,000A,2025-07-05,2452953.93965,62.4965872,13.0772887,18.4195909,7.647688,1.0162611,Distant Object,,,,,,
8.2,0.15,85.0,0.31,3,1995-2010,M-v,3Ek,(10370),Hylonome,1995 DW2,2460800.5,87.13414,5.39003,178.24145,4.14196,0.2455209,0.00790645,24.954477,MPO691685,8,Pan,000A,2010-06-14,2449779.7902,124.658733,18.8276313,31.0813227,11.7251042,1.0080868,Distant Object,,,,,,
12.23,0.15,210.0,0.64,0,1996-2025,M-v,3Ek,(15504),,1999 RG33,2460800.5,335.42586,273.79833,23.39916,34.95628,0.7729844,0.03432852,9.3763254,E2025-KD6,7,MPCLINUX,000A,2025-05-28,2461516.35243,28.7110454,2.1285721,16.6240787,1.8869626,1.0360867,Distant Object,,,,,,
7.18,0.15,109.0,0.91,2,1992-2022,M-v,3El,(15760),Albion,1992 QB1,2460800.5,34.16135,7.09237,359.43901,2.18575,0.0737229,0.00334815,44.2519752,MPO727685,17,MPCLINUX,000A,2022-12-26,2450597.2952,294.3736891,40.9895913,47.5143591,22.0057314,1.0034086,Distant Object,,,,,,
7.96,0.15,138.0,0.86,2,1993-2022,M-v,3El,(15788),,1993 SB,2460800.5,3.42996,79.21733,354.86459,1.93673,0.32697,0.00393309,39.7478307,MPO727685,21,MPCLINUX,000A,2022-12-01,2459928.40236,250.5936991,26.7514825,52.7441789,17.7492074,1.0040065,Distant Object,,,,,,
7.09,0.15,159.0,0.96,2,1993-2020,M-v,3Ek,(15789),,1993 SC,2460800.5,76.94852,318.98558,354.65459,5.15581,0.1844019,0.00392784,39.7832705,MPO691787,17,Pan,000A,2020-01-19,2441209.75709,250.9289238,32.4471598,47.1193812,19.2152389,1.0040011,Distant Object,,,,,,
7.32,0.15,69.0,0.58,4,1994-2020,M-v,3Ek,(15807),,1994 GV9,2460800.5,87.86118,301.68007,177.00306,0.56611,0.063086,0.00342255,43.6083223,MPO691788,14,Pan,000A,2020-06-17,2435128.86231,287.9745234,40.8572477,46.3593969,21.717384,1.0034846,Distant Object,,,,,,
7.64,0.15,52.0,0.65,5,1994-2001,M-v,3Ek,(15809),,1994 JS,2460800.5,2.17428,237.78075,56.42981,14.05879,0.2143917,0.00361216,42.0686346,MPO691788,7,Pan,000A,2001-06-12,2460198.55653,272.8585864,33.0494685,51.0878007,20.0675001,1.0036784,Distant Object,,,,,,
7.68,0.15,107.0,0.75,1,1994-2023,M-v,3Ek,(15810),Arawn,1994 JR1,2460800.5,43.2303,101.69146,144.75443,3.80395,0.1140708,0.0040104,39.2353696,MPO914321,16,MPCLINUX,000A,2023-10-07,2450020.95183,245.7630692,34.7597596,43.7109796,19.3624166,1.0040856,Distant Object,,,,,,
7.6,0.15,190.0,0.84,1,1994-2024,M-v,3Ek,(15820),,1994 TB,2460800.5,8.80326,99.29089,317.43303,12.12861,0.323523,0.00391282,39.8849903,E2024-T35,20,MPCLINUX,000A,2024-10-01,2458550.63801,251.8919197,26.9812786,52.788702,17.8551714,1.0039858,Distant Object,,,,,,
8.06,0.15,82.0,0.3,3,1995-2020,M-v,3Ek,(15836),,1995 DA2,2460800.5,72.77667,333.38492,127.42709,6.55157,0.0763402,0.00449449,36.3649244,MPO691788,17,Pan,000A,2020-01-25,2444607.7557,219.2926287,33.5888188,39.14103,18.076498,1.004581,Distant Object,,,,,,
5.41,0.15,514.0,0.75,1,1996-2025,M-v,3Ek,(15874),,1996 TL66,2460800.5,10.88136,185.09668,217.67996,23.94958,0.5871626,0.00125835,84.9704639,MPO901360,26,MPCLINUX,000A,2025-02-20,2452152.83251,783.2528503,35.0789854,134.8619424,27.8380268,1.0012784,Distant Object,,,,,,
7.36,0.15,153.0,0.85,2,1996-2021,M-v,3Ek,(15875),,1996 TP66,2460800.5,35.49413,76.10184,316.80747,5.68386,0.3349952,0.00393382,39.7429217,MPO691789,17,Pan,000A,2021-01-11,2451777.63915,250.5472767,26.4292337,53.0566097,17.6414501,1.0040073,Distant Object,,,,,,
7.07,0.15,37.0,0.32,4,1997-2024,M-v,3Ek,(15883),,1997 CR29,2460800.5,77.38786,301.13665,127.11356,19.13018,0.2157726,0.00304769,47.1145942,E2024-H69,7,MPCLINUX,000A,2024-04-14,2435407.44973,323.3949116,36.9485557,57.2806327,22.4605208,1.0031018,Distant Object,,,,,,
6.71,0.15,95.0,0.36,4,1994-2020,M-v,3Ek,(16684),,1994 JQ1,2460800.5,332.91845,254.12597,25.68694,3.74815,0.0455939,0.00339438,43.8492734,MPO691804,15,Pan,000A,2020-07-09,2468779.03755,290.3645559,41.850014,45.8485328,21.8790597,1.0034558,Distant Object,,,,,,
6.94,0.15,75.0,0.44,4,1994-2016,M-v,3Ek,(19255),,1994 VK8,2460800.5,287.1886,104.41558,72.35857,1.48581,0.0332433,0.00348716,43.0680265,MPO691853,7,Pan,000A,2016-02-04,2481680.71565,282.6392405,41.6363032,44.4997498,21.5102156,1.0035506,Distant Object,,,,,,
8.47,0.15,74.0,0.33,3,1996-2020,M-v,3Ek,(19299),,1996 SZ4,2460800.5,19.76298,30.93811,15.9272,4.73484,0.264203,0.00390229,39.9566783,MPO691854,14,Pan,000A,2020-01-30,2455735.92617,252.5713384,29.400004,50.5133526,18.5837866,1.003975,Distant Object,,,,,,
4.81,0.15,293.0,0.98,2,1983-2024,M-v,3Ek,(19308),,1996 TO66,2460800.5,147.28864,240.90107,355.20738,27.40994,0.1132789,0.00343411,43.5104455,MPO887554,23,MPCLINUX,000A,2024-11-28,2417910.4735,287.00555,38.5816301,48.4392609,21.4760574,1.0034964,Distant Object,,,,,,
4.63,0.15,164.0,0.66,1,1991-2023,M-v,3Ek,(19521),Chaos,1998 WH24,2460800.5,350.0632,56.22722,49.89077,12.01563,0.110179,0.00314899,46.098707,MPO914366,22,MPCLINUX,000A,2023-09-28,2463956.14165,312.9919129,41.0195976,51.1778164,22.7695479,1.0032052,Distant Object,,,,,,
3.79,0.15,849.0,0.65,1,1954-2025,M-v,3Ek,(20000),Varuna,2000 WR106,2460800.5,114.90463,272.57494,97.2134,17.13953,0.0535638,0.00347877,43.1372631,MPO901406,30,MPCLINUX,000A,2025-03-06,2427769.58903,283.321075,40.8266674,45.4478588,21.5067494,1.0035421,Distant Object,,,,,,
7.64,0.15,48.0,0.35,4,1995-2021,M-v,3Ek,(20108),,1995 QZ9,2460800.5,69.86115,145.60023,187.95491,19.5397,0.146266,0.00393583,39.7293883,MPO691869,7,Pan,000A,2021-12-01,2443050.32215,250.4193118,33.9183296,45.540447,19.439714,1.0040093,Distant Object,,,,,,
7.43,0.15,33.0,0.49,4,1996-2016,M-v,3Ek,(20161),,1996 TR66,2460800.5,62.92648,310.12427,343.07147,12.42448,0.3960254,0.00296028,48.0375176,MPO691870,8,Pan,000A,2016-08-12,2439542.99037,332.9437256,29.0134405,67.0615947,20.2517499,1.0030126,Distant Object,,,,,,
13.92,0.15,277.0,0.72,2,1998-2000,M-v,3Ek,(20461),Dioretsa,1999 LD31,2460800.5,79.17857,102.26932,297.16952,160.41921,0.9007801,0.00850445,23.7705163,MPO691876,4,Pan,000A,2000-12-29,2451490.19357,115.8931913,2.3585083,45.1825243,2.2415028,1.0087037,Distant Object,,,,,,
4.61,0.15,329.0,0.7,2,1982-2025,M-v,3Ek,(24835),,1995 SM55,2460800.5,342.25785,70.08996,20.97434,27.01539,0.1112472,0.00360359,42.1352827,MPO914421,27,MPCLINUX,000A,2025-01-08,2465724.08818,273.5072659,37.4478505,46.8227149,20.8069095,1.0036696,Distant Object,,,,,,
7.5,0.15,111.0,0.92,3,1997-2024,M-v,3Ek,(24952),,1997 QJ4,2460800.5,351.44723,81.89388,346.83257,16.55965,0.2331416,0.00393616,39.7271708,MPO887625,18,MPCLINUX,000A,2024-12-03,2462973.40465,250.3983463,30.4651146,48.989227,18.7839001,1.0040096,Distant Object,,,,,,
7.28,0.15,30.0,0.2,4,1998-2007,M-v,3Ek,(24978),,1998 HJ151,2460800.5,87.96513,121.41758,50.47838,2.39652,0.0482686,0.00348084,43.1201508,MPO691961,6,Pan,000A,2007-05-12,2435528.97334,283.152504,41.0388015,45.2015001,21.5098435,1.0035442,Distant Object,,,,,,
4.84,0.15,409.0,0.71,1,1980-2025,M-v,3Ek,(26181),,1996 GQ21,2460800.5,14.53987,355.9827,194.25114,13.364,0.5863446,0.00111226,92.2569195,E2025-N01,27,MPCLINUX,000A,2025-06-30,2447727.42861,886.1320077,38.1625729,146.3512661,30.2694958,1.0011298,Distant Object,,,,,,
5.77,0.15,312.0,0.93,1,1982-2024,M-v,3Ek,(26308),,1998 SM165,2460800.5,54.41945,132.02793,183.08141,13.48425,0.3705218,0.00296562,47.9798181,MPO887642,29,MPCLINUX,000A,2024-11-22,2442450.26733,332.3440406,30.2022495,65.7573867,20.6964207,1.003018,Distant Object,,,,,,
4.89,0.15,448.0,0.77,1,1990-2025,M-v,3Ek,(26375),,1999 DE9,2460800.5,34.31509,159.15462,322.90867,7.61485,0.4191915,0.00239216,55.3701622,MPO914437,26,MPCLINUX,000A,2025-04-24,2446455.3263,412.015632,32.1594609,78.5808635,22.8202167,1.002433,Distant Object,,,,,,
3.47,0.15,190.0,0.48,3,1982-2022,M-v,3Ek,(28978),Ixion,2001 KX76,2460800.5,293.55069,300.58238,71.09913,19.67473,0.2449509,0.00398909,39.3749838,E2024-C06,23,MPCLINUX,000A,2022-06-02,2477458.63738,247.0760116,29.7300461,49.0199215,18.5062238,1.0040638,Distant Object,,,,,,
8.8,0.15,237.0,0.64,1,1997-2016,M-v,3Ek,(29981),,1999 TD10,2460800.5,9.362,173.05856,184.56049,5.96199,0.8747511,0.00100521,98.6958643,MPO692055,15,Pan,000A,2016-01-04,2451486.93056,980.5018827,12.3615484,185.0301802,11.5874133,1.0010209,Distant Object,,,,,,
10.26,0.15,461.0,0.9,0,1998-2025,M-v,3Ek,(31824),Elatus,1999 UG5,2460800.5,238.58302,282.00956,87.01848,5.25248,0.3842969,0.02444985,11.7566945,E2025-KE2,25,MPCLINUX,000A,2025-05-30,2465766.47027,40.3113971,7.2386332,16.2747558,5.0102088,1.0254379,Distant Object,,,,,,
9.17,0.15,720.0,0.77,0,1995-2025,M-v,3Ek,(32532),Thereus,2001 PT13,2460800.5,272.06676,86.69153,205.16984,20.37351,0.1976949,0.02843295,10.631342,MPO914504,28,MPCORBFIT,000A,2025-04-27,2463893.15815,34.664276,8.5295799,12.7331041,5.1079172,1.0297051,Distant Object,"['1995 MM6', '1999 NE2']",,,,,
8.66,0.15,217.0,0.57,2,1995-2020,M-v,3Ek,(32929),,1995 QY9,2460800.5,26.36235,26.23159,342.08775,4.83342,0.2676883,0.00389846,39.9828566,MPO692111,19,Pan,000A,2020-01-19,2454038.14878,252.8195937,29.2799137,50.6857995,18.558902,1.0039711,Distant Object,,,,,,
6.42,0.15,148.0,0.96,2,1997-2024,M-v,3Ek,(33001),,1997 CU29,2460800.5,254.42826,265.50913,350.24625,1.45371,0.0345692,0.00342738,43.5673404,MPO887733,18,MPCLINUX,000A,2024-12-31,2491603.68035,287.568673,42.0612523,45.0734285,21.7576381,1.0034896,Distant Object,,,,,,
6.93,0.15,214.0,0.58,2,1998-2024,M-v,3Ek,(33128),,1998 BU48,2460800.5,88.99385,282.51338,132.69663,14.23808,0.3856793,0.00513217,33.2865622,E2024-B91,21,MPCLINUX,000A,2024-01-21,2443459.86946,192.045182,20.4486242,46.1245002,14.1676176,1.0052344,Distant Object,,,,,,
6.42,0.15,215.0,0.8,1,1998-2025,M-v,3Ek,(33340),,1998 VG44,2460800.5,16.39294,324.42008,127.95325,3.03577,0.2575725,0.00396281,39.54887,MPO901556,23,MPCLINUX,000A,2025-02-23,2456663.79363,248.7145078,29.3621687,49.7355713,18.4625279,1.0040369,Distant Object,,,,,,
5.61,0.15,468.0,0.68,2,1998-2025,M-v,3Ek,(35671),,1998 SN165,2460800.5,306.61616,259.36041,192.06387,4.59595,0.0471843,0.00418614,38.1294204,E2025-N20,25,MPCLINUX,000A,2025-07-02,2473553.14327,235.4454519,36.3303104,39.9285304,19.0222653,1.0042654,Distant Object,,,,,,
13.39,0.15,622.0,0.77,0,1984-2022,M-v,3Ek,(37117),Narcissus,2000 VU2,2460800.5,125.64218,180.22887,248.39882,13.82585,0.5545163,0.05460283,6.881122,MPO887787,11,MPCLINUX,000A,2022-03-02,2458499.47917,18.0504855,3.0654277,10.6968163,2.3826287,1.0586494,Distant Object,['2000 VW55'],,,,,
7.03,0.15,79.0,0.2,4,1999-2020,M-v,3Ek,(38083),Rhadamanthus,1999 HX11,2460800.5,113.61765,79.3579,10.02575,12.76528,0.1571743,0.00406817,38.8630381,MPO692208,16,Pan,000A,2020-04-21,2432871.57741,242.2730588,32.7547673,44.9713089,18.9514875,1.0041447,Distant Object,,,,,,
7.06,0.15,247.0,0.58,2,1999-2024,M-v,3Ek,(38084),,1999 HB12,2460800.5,5.56328,66.37798,166.45056,13.15292,0.4103062,0.00240367,55.1932798,E2024-H23,20,MPCLINUX,000A,2024-04-17,2458485.93851,410.0429067,32.5471349,77.8394247,22.9507131,1.0024447,Distant Object,,,,,,
4.79,0.15,864.0,0.76,1,1996-2025,M-v,3Ek,(38628),Huya,2000 EB173,2460800.5,15.17632,67.58799,169.34428,15.47616,0.2724599,0.00401577,39.2003478,E2025-O08,26,MPCLINUX,000A,2025-07-15,2457021.25354,245.4340876,28.519825,49.8808706,18.1451668,1.0040911,Distant Object,,,,,,
5.6,0.15,473.0,0.65,3,1999-2025,M-v,3Ek,(40314),,1999 KR16,2460800.5,354.70217,58.92474,205.69713,24.84287,0.2997516,0.00292131,48.4638204,E2025-N09,23,MPCLINUX,000A,2025-07-01,2462614.01795,337.3855436,33.9367127,62.9909281,22.0546483,1.0029728,Distant Object,,,,,,
4.14,0.15,380.0,0.74,1,1982-2024,M-v,3Ek,(42301),,2001 UR163,2460800.5,84.92799,343.8015,302.34674,0.75115,0.280431,0.00264054,51.8410947,MPO887846,25,MPCLINUX,000A,2024-12-26,2428636.89841,373.2598228,37.3032447,66.3789447,23.8821154,1.0026863,Distant Object,,,,,,
7.63,0.15,465.0,0.68,0,1989-2025,M-v,3Ek,(42355),Typhon,2002 CR46,2460800.5,29.65727,158.64636,351.89414,2.42878,0.5359908,0.00426736,37.6440447,E2025-N01,28,MPCLINUX,000A,2025-06-30,2453850.60897,230.9640682,17.4671831,57.8209063,13.4147162,1.0043485,Distant Object,,,,,,
